phi,d1,d2,P,I
0.07410619151253175,0.9424777960769379,0.9424777960769379,10000,351.71535249769585
0.12218043372259749,0.0,0.5340707511102649,20000,715.1013366260821
0.1874807917006785,0.0,0.6597344572538565,30000,1069.282711735033
0.25256380149316443,0.0,0.6911503837897545,40000,1428.1536160671321
0.333407298425356,0.0,0.91106186954104,50000,1788.4856987723317
0.3798922388063965,0.0,0.6283185307179586,60000,2146.9337011487364
0.45259716527821986,0.0,0.6911503837897545,70000,2481.7565361526017
0.551098420182868,0.0,0.91106186954104,80000,2842.427853376119
0.6192578896247299,0.0,0.8482300164692442,90000,3212.9721572538856
